detectTime;midx;midy;x;y;width;height;roll;pitch;yaw;correctureX;correctureY;localX;localY;localXSet;localYSet
72;528;-21;1076;367;184;184;-0.364923;0.15155;-0.481333;-0.100923;0.14105;-0.0227881;-0.00114184;0;3.09133e-13
71;532;-22;1085;371;174;174;-0.366622;0.152162;-0.481055;-0.100622;0.141162;-0.0227881;-0.00114184;0;3.09133e-13
72;534;-21;1083;368;183;183;-0.368104;0.151397;-0.479185;-0.101104;0.140897;-0.0227881;-0.00114184;0;3.09133e-13
73;540;-18;1098;380;164;164;-0.374664;0.150201;-0.476064;-0.104664;0.141201;-0.0227881;-0.00114184;0;3.09133e-13
72;551;-18;1109;380;165;165;-0.386665;0.154209;-0.475531;-0.111165;0.145209;-0.0227881;-0.00114184;0;3.09133e-13
298;572;-25;1164;407;96;96;-0.399603;0.157766;-0.474892;-0.113603;0.145266;-0.0227881;-0.00114184;0;3.09133e-13
289;583;-30;1178;405;91;91;-0.415514;0.156436;-0.47161;-0.124014;0.141436;-0.0227881;-0.00114184;0;3.09133e-13
-711;584;-27;1180;409;88;88;-0.424964;0.159209;-0.470899;-0.132964;0.145709;-0.0227881;-0.00114184;0;3.09133e-13
289;599;-22;1201;420;77;77;-0.435101;0.160217;-0.471946;-0.135601;0.149217;-0.0227881;-0.00114184;0;3.09133e-13
290;604;-10;1208;434;72;72;-0.324207;0.149224;-0.471122;-0.0222075;0.144224;-0.0227881;-0.00114184;0;3.09133e-13
72;534;-3;1082;385;184;184;-0.320454;0.147981;-0.471458;-0.0534537;0.146481;-0.0227881;-0.00114184;0;3.09133e-13
73;510;-13;1052;369;196;196;-0.317341;0.147211;-0.471512;-0.0623411;0.140711;-0.0227881;-0.00114184;0;3.09133e-13
16;133;-162;643;188;260;260;-0.315703;0.14668;-0.471658;-0.249203;0.0656796;-0.0227881;-0.00114184;0;3.09133e-13
72;481;-19;1016;356;210;210;-0.309627;0.147157;-0.472357;-0.0691271;0.137657;-0.0227881;-0.00114184;0;3.09133e-13
72;472;-21;1004;351;216;216;-0.302655;0.146185;-0.471491;-0.0666545;0.135685;-0.0227881;-0.00114184;0;3.09133e-13
72;463;-19;990;348;227;227;-0.295765;0.143968;-0.470873;-0.0642646;0.134468;-0.0227881;-0.00114184;0;3.09133e-13
72;454;-13;974;347;240;240;-0.290724;0.142937;-0.470397;-0.0637241;0.136437;-0.0227881;-0.00114184;0;3.09133e-13
73;444;-13;953;336;263;263;-0.283758;0.14146;-0.469757;-0.0617577;0.13496;-0.0227881;-0.00114184;0;3.09133e-13
73;435;-10;951;346;248;248;-0.277068;0.137789;-0.468611;-0.0595679;0.132789;-0.0227881;-0.00114184;0;3.09133e-13
73;425;-6;946;355;238;238;-0.268676;0.135956;-0.468003;-0.0561755;0.132956;-0.0227881;-0.00114184;0;3.09133e-13
16;415;-4;845;266;420;420;-0.266132;0.136133;-0.467807;-0.0586317;0.134133;-0.0227881;-0.00114184;0;3.09133e-13
72;404;-7;921;350;246;246;-0.258525;0.13715;-0.468224;-0.0565248;0.13365;-0.0227881;-0.00114184;0;3.09133e-13
111;396;-7;920;357;232;232;-0.248535;0.131525;-0.466339;-0.0505352;0.128025;-0.0227881;-0.00114184;0;3.09133e-13
25;393;3;817;267;432;432;-0.244858;0.129701;-0.466406;-0.048358;0.131201;-0.0227881;-0.00114184;0;3.09133e-13
111;366;2;881;357;250;250;-0.228688;0.137299;-0.467297;-0.0456882;0.138299;-0.0227881;-0.00114184;0;3.09133e-13
25;358;-13;793;262;410;410;-0.226689;0.138716;-0.467746;-0.0476892;0.132216;-0.0227881;-0.00114184;0;3.09133e-13
111;343;-12;865;350;236;236;-0.213542;0.134528;-0.465308;-0.0420421;0.128528;-0.0227881;-0.00114184;0;3.09133e-13
112;327;-5;867;375;200;200;-0.203375;0.129744;-0.463197;-0.0398748;0.127244;-0.0227881;-0.00114184;0;3.09133e-13
111;311;0;834;363;235;235;-0.1926;0.126572;-0.462285;-0.0371002;0.126572;-0.0227881;-0.00114184;0;3.09133e-13
112;292;6;810;364;244;244;-0.180937;0.123879;-0.460873;-0.0349374;0.126879;-0.0227881;-0.00114184;0;3.09133e-13
87;272;12;811;391;202;202;-0.167498;0.119805;-0.458703;-0.0314978;0.125805;-0.0227881;-0.00114184;0;3.09133e-13
73;250;18;774;382;233;233;-0.158962;0.118064;-0.457031;-0.0339622;0.127064;-0.0227881;-0.00114184;0;3.09133e-13
72;229;26;739;376;260;260;-0.150917;0.116338;-0.455277;-0.036417;0.129338;-0.0227881;-0.00114184;0;3.09133e-13
72;208;32;743;407;210;210;-0.142355;0.114564;-0.454073;-0.0383552;0.130564;-0.0227881;-0.00114184;0;3.09133e-13
72;189;35;736;422;187;187;-0.12946;0.111352;-0.451931;-0.0349599;0.128852;-0.0227881;-0.00114184;0;3.09133e-13
71;167;42;700;415;214;214;-0.119647;0.106942;-0.451106;-0.0361465;0.127942;-0.0227881;-0.00114184;0;3.09133e-13
72;154;48;696;430;197;197;-0.111151;0.104063;-0.451077;-0.0341511;0.128063;-0.0227881;-0.00114184;0;3.09133e-13
73;138;50;682;434;193;193;-0.101036;0.105673;-0.451394;-0.0320356;0.130673;-0.0227881;-0.00114184;0;3.09133e-13
72;122;51;653;422;218;218;-0.0937991;0.104941;-0.450625;-0.0327991;0.130441;-0.0227881;-0.00114184;0;3.09133e-13
72;101;56;631;426;220;220;-0.0832943;0.0989813;-0.449952;-0.0327943;0.126981;-0.0227881;-0.00114184;0;3.09133e-13
71;78;66;625;453;186;186;-0.0712145;0.0980111;-0.450164;-0.0322145;0.131011;-0.0227881;-0.00114184;0;3.09133e-13
72;54;63;587;436;214;214;-0.0580087;0.0997484;-0.451379;-0.0310087;0.131248;-0.0227881;-0.00114184;0;3.09133e-13
71;33;59;553;419;240;240;-0.0507139;0.101259;-0.453524;-0.0342139;0.130759;-0.0227881;-0.00114184;0;3.09133e-13
71;17;54;554;431;206;206;-0.0453749;0.103717;-0.455885;-0.0368749;0.130717;-0.0227881;-0.00114184;0;3.09133e-13
72;2;54;522;414;240;240;-0.0357376;0.103362;-0.458794;-0.0347376;0.130362;-0.0227881;-0.00114184;0;3.09133e-13
-929;-17;58;506;421;235;235;-0.0261011;0.0980171;-0.461353;-0.0346011;0.127017;-0.0227881;-0.00114184;0;3.09133e-13
